INSPECTION_ID,INSPECTION_DATE,INSPECTION_METHOD,INSPECTION_REPORT_DATE,INSPECTION_NOTES,NUM_INSPECTION,NUM_POI,POI_ID_1,POI_COUNTY_1,POI_SOURCE_1,POI_TRIBUTARY_TO_1,POI_LATITUDE_1,POI_LONGITUDE_1,POI_DESCRIPTION_1,PRIMARY_POI_1,POI_ID_2,POI_COUNTY_2,POI_SOURCE_2,POI_TRIBUTARY_TO_2,POI_LATITUDE_2,POI_LONGITUDE_2,POI_DESCRIPTION_2,PRIMARY_POI_2,POI_ID_3,POI_COUNTY_3,POI_SOURCE_3,POI_TRIBUTARY_TO_3,POI_LATITUDE_3,POI_LONGITUDE_3,POI_DESCRIPTION_3,PRIMARY_POI_3,INVESTIGATION_ID,INVESTIGATION_TYPE,INVESTIGATION_START_DATE,INVESTIGATION_CLOSURE_DATE,NUM_OF_VIOLATIONS,ENF_CASE_NUMBER,ENFOCEMENT_ACTION_TYPE,ENF_CASE_CLOSURE_DATE,INVESTIGATION_LEAD_STAFF,INVEST_SECTION_OR_OFFICE,INVESTIGATION_SWEEP,RESOURCE_VALUE_PRIORITY,INVESTIGATION_SUMMARY,ASSOCIATED_WR_TO_INV
18,4/11/2011,Field,5/25/2011,,1,5,5275,Sonoma,,,38.8493,-122.9901,UN00110 1,Y,4549,Sonoma,,Russian River,38.8493,-122.9901,S022318 01,,4546,Sonoma,,Russian River,38.8504,-122.9877,S022316 01,,3026,Unauthorized Diversion,4/11/2011,9/1/2011,4,ENF00157,Notification of Violations and Voluntary Compliance,5/25/2016,David  LaBrie,Water Rights - Enforcement,,High,"2 Reservoirs; 1 on-stream, 1 off-stream.  Off-stream reservoir has 2 PODs.  Water is collected to seasonal storage in both reservoirs and used to irrigate vineyards.

Application pending (A031920) and 2 statements filed (S022316 and S022318).","S022318,A031920,UN000110,S022316"
19,5/18/2011,Field,7/22/2011,,1,6,9422,Napa,Conn Creek,,38.5064,-122.3984,A032016 02 and UN000111,Y,9427,Napa,Unnamed stream,Conn Creek,38.5089,-122.3977,S023746 01 and UN000111,,9426,Napa,Conn Creek,Lake Hennessey,38.5064,-122.3984,S023745 01 and UN000111,,3059,Unauthorized Diversion,5/18/2011,7/22/2011,2,ENF00159,Notification of Violations and Voluntary Compliance,2/8/2017,Kyle  Wooldridge,Water Rights - Enforcement,,,AB2121 investigation sweep,"UN000111,S023746,S023745,A032017,A032016"
20,2/8/2011,Field,3/15/2011,,1,2,4538,Marin,Unnamed stream,Salmon Creek,38.1688,-122.7313,A031911 01,Y,7069,Marin,Unnamed stream,Salmon Creek,38.1585,-122.7282,S022336 01,,,,,,,,,,3060,Unauthorized Diversion,2/8/2011,10/28/2011,2,ENF01436,Notification of Violations and Voluntary Compliance,10/28/2011,Jeff  Wetzel,Water Rights - Enforcement,,,AB 21231 investigation for RID 1339 on MAring APN 125-010-08 found unauthorized storage,"A031911,S022336,UN000113"
21,3/17/2011,,5/27/2011,,1,1,5377,Sonoma,,,38.3007,-122.51,UN00112 1,Y,,,,,,,,,,,,,,,,,3061,Unauthorized Diversion,3/17/2011,12/15/2011,0,,,,Kevin Porzio,Water Rights - Enforcement,,,,NJ000011
22,12/27/2010,,6/3/2011,,1,1,595,Sonoma,,,38.447,-122.8843,UN00114 1,Y,,,,,,,,,,,,,,,,,3063,Unauthorized Diversion,12/27/2010,11/8/2011,0,,,,Cherilyn  Gehrt,Water Rights - Enforcement,,,,UN000114
23,5/12/2011,,5/31/2011,,1,1,5379,Sonoma,,,38.3048,-122.6729,NJ00013 1,Y,,,,,,,,,,,,,,,,,3064,Compliance,5/12/2011,5/31/2011,0,,,,Jeff  Wetzel,Water Rights - Enforcement,,,,NJ000013
24,3/4/2011,,4/22/2011,,1,1,4020,Sonoma,Unnamed stream,,38.5862,-122.7649,UN00115 1,Y,,,,,,,,,,,,,,,,,3065,Unauthorized Diversion,3/4/2011,4/4/2011,1,,,,Jeff  Wetzel,Water Rights - Enforcement,,,AB2121 investigation of RID 1979 on Sonocma APN 132-120-049,UN000115
25,12/9/2013,Field,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5227,Cannabis,5/16/2013,2/14/2017,3,ENF01419,Notification of Violations and Voluntary Compliance,,Skyler  Anderson,Water Rights - Enforcement,,,"26 letters were issued on May 26, 2013, to the China Creek watershed in Humboldt County as a result of a compliant we received from DFW alleging a fish kill that occurred in October 2012.  China Creek supports ESA list coho, chinook, and steelhead and is tributary to Redwood Creek, South Fork Eel River.  
",UN000769
26,4/19/2011,Field,5/31/2011,,1,2,5233,Sonoma,Unnamed stream,Champlin Creek,38.2291,-122.5052,UN00118 01,Y,10980,Sonoma,Unnamed stream,Champlin Creek,38.22908056,-122.504775,A032785 01,N,,,,,,,,,3079,Unauthorized Diversion,4/19/2011,4/19/2011,1,ENF00534,"Cease and Desist Order, Administrative Civil Liability",,Former  Staff,Water Rights - Enforcement,,,"Oxfoot  has an existing unauthorized onstream reservoir (UN000118) on APN 068-050-012. Findings ltr sent 2/22/2012.  Oxfoot did not respond in time.  ACL/CDO being issued.

Application A032785 subsequently filed.

Additional unauthorized reservoir (UN000589) on APN 017-120-001 is investigated under INV 4305.","UN000118,UN000589,A032785"
27,3/11/2011,,6/28/2011,,1,2,558,Sonoma,,,38.2352,-122.452,UN00138 1,Y,5340,Sonoma,,,38.2354,-122.452,A031909 01,,,,,,,,,,3139,Unauthorized Diversion,3/11/2011,,1,,,,Jeff  Wetzel,Water Rights - Enforcement,,,,"A031909,UN000138"
28,12/11/2013,Field,3/10/2014,,1,3,5599,Mendocino,Burright Creek,,39.29885025,-123.05911683,A025880 01,Y,8358,Mendocino,Unnamed stream,,39.301869,-123.05777672,D031592 01,N,8357,Mendocino,Unnamed stream,,39.30355188,-123.02537178,D031592 01,N,5247,Compliance,12/1/2013,3/10/2014,1,ENF02768,Notification of Violations and Voluntary Compliance,9/18/2014,Ramon  Ruiz,Water Rights - Enforcement,,,2013/2014 Bypass compliance inspection.,"A025880,D031592"
29,2/5/2013,,4/4/2013,,1,1,2801,Siskiyou,Scott River,,41.33495186,-122.82811499,S002514 01,Y,,,,,,,,,,,,,,,,,4556,Complaint,1/15/2013,4/4/2013,0,,,,Jeff  Wetzel,Water Rights - Enforcement,,,"The allegations raised are; (1) change in point of diversion, (2) diversions exceed the decreed 36 cfs, (3) Farmer?s Ditch has exercised their 6 cfs surplus water right at times when USFS was not receiving its instream right, (4) Farmer?s Ditch users have irrigated outside the irrigation season, and (5) Farmer?s Ditch is supplying stockwater to more acres than they irrigate.",S002514
30,10/25/2006,,8/28/2007,,1,4,1319,Sonoma,,,38.19169652,-122.6828711,A031036 01,Y,6838,Marin,Unnamed stream,,38.18696148,-122.69386794,A031036 02,,1307,Marin,Unnamed stream,,38.19030467,-122.68387408,A031036 01,,601,Unauthorized Diversion,10/25/2006,8/28/2007,1,ENF00064,Cease and Desist Order,6/19/2012,Chuck Arnold,Water Rights - Enforcement,,,,"A018859,A031036"
33,8/21/2012,Field,10/11/2012,,1,2,301,Napa,Unnamed stream,,38.23684504,-122.32484838,A026047B 01,Y,7137,Napa,Carneros Creek,,38.23616444,-122.32275643,A026047B 01,,,,,,,,,,4568,Compliance,8/21/2012,8/21/2012,1,,,,Bill  Rigby,Water Rights - Enforcement,,,Licensee is in threat of non-compliance with terms & conditions of their license.  Licensee could not produce records to show bypass flows were satisfied or diversions were within time periods required by the license terms.  ,A026047B
34,1/16/2014,Field,3/21/2014,,1,2,3334,Mendocino,McClure Creek,,39.1502083,-123.15581497,A024898 01,Y,3585,Mendocino,McClure Creek,,39.14298435,-123.16433649,A024898 02,,,,,,,,,,5263,Compliance,1/16/2014,4/21/2014,0,,,,Ramon  Ruiz,Water Rights - Enforcement,2014 Drought,,"2013-2014 Bypass Compliance Sweep.  The licensee has approved measuring device but does not keep adequate records to demonstrate bypass flows are being met.

4/21/2014 Letter received alleviates staff's concerns of non-compliance. ",A024898
35,4/5/2006,Field,3/13/2008,,1,1,5651,Sonoma,Unnamed stream,Mark West Creek,38.4958,-122.823,A031719 01,Y,,,,,,,,,,,,,,,,,1602,Unauthorized Diversion,4/5/2006,3/13/2008,1,ENF02617,Notification of Violations and Voluntary Compliance,7/8/2008,Bill  Rigby,Water Rights - Enforcement,,,,"UN001134,A031719"
36,2/2/2006,Field,10/2/2006,,1,3,1309,San Joaquin,Mokelumne River,,38.22572312,-121.02285632,A012842 01,Y,1278,San Joaquin,Mokelumne River,,38.15363783,-121.18475778,A012842 03,,777,San Joaquin,Mokelumne River,,38.16867118,-121.17307015,A012842 02,,2426,Compliance,2/2/2006,5/14/2012,1,ENF00059,"Administrative Civil Liability, Cease and Desist Order",8/5/2011,Steve Marquez,Water Rights - Other,,,CDO and ACL Issued. See: http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2008/wro2008_0017.pdf,A012842
37,4/1/2000,,5/9/2000,,1,1,265,Napa,Conn Creek,Napa River,38.4694758,-122.39617334,A024433B03 01,Y,,,,,,,,,,,,,,,,,2481,Compliance,4/1/2000,7/27/2012,1,,,,Matthew McCarthy,Water Rights - Other,,,,A024433B03
38,6/6/2003,,5/11/2007,,1,1,6139,El Dorado,Johntown Creek,Dutch Creek,38.8462,-120.8636,A029219 01,Y,,,,,,,,,,,,,,,,,2540,Compliance,6/6/2003,5/11/2007,2,ENF00091,Notification of Violations and Voluntary Compliance,4/13/2012,Matthew McCarthy,Water Rights - Other,,,"Reservoir found to have excess capacity. Permittee filed app A031647.

A031647 cancelled on 11/12/2009 in favor of alternate corrective action - see violations tab for details",A029219
39,10/18/2012,,10/26/2012,,1,1,1526,Napa,,,38.5492,-122.5068,NJ000156 1,Y,,,,,,,,,,,,,,,,,4604,Unauthorized Diversion,8/8/2011,2/14/2013,0,,,,Paul  Wells,Water Rights - Enforcement,,,,NJ000156
40,11/9/2010,,7/22/2011,,1,3,6178,Napa,Unnamed stream,,38.37545427,-122.15194083,A030664 02,Y,6403,Napa,Unnamed stream,,38.3788,-122.1555,A030664 01,,865,Napa,Unnamed stream,,38.36749729,-122.14721545,A030664 03,,2845,Compliance,11/9/2010,9/20/2011,0,,,,Kevin Porzio,Water Rights - Enforcement,,,,A030664
41,11/9/2010,,7/11/2011,,1,1,6132,Napa,,,38.3809151,-122.17410388,A025720 01,Y,,,,,,,,,,,,,,,,,2847,Compliance,11/9/2010,11/22/2011,0,,,,Kevin Porzio,Water Rights - Enforcement,,,"The letter of findings dated September 20, 2011 informed the Licensee of the additional acreage not coved by the license, and the threat of an unauthorized diversion because the point of diversion had no control mechanism in place at the time of inspection.

The agent, Wagner & Bonsignore, submitted a change petition for the expanded place of use on November 18, 2011.  The change petition also included photographs of the point of diversion which has been fitted with a control check valve.  The change petition for the additional place of use and the photographs of the check valve on the diversion pipe were pursued with due diligence before and after receiving the letter of compliance.  

Provided the change petition is granted, no further action is required pursuant to the terms and conditions of this license as of November 22, 2011. 
",A025720
42,11/9/2010,,7/13/2011,,1,1,6237,Napa,Unnamed stream,,38.37324279,-122.16292347,A029218 01,Y,,,,,,,,,,,,,,,,,2849,Compliance,11/9/2010,9/22/2011,0,,,,Kevin Porzio,Water Rights - Enforcement,,,,A029218
43,11/17/2010,Field,12/16/2016,,1,3,314,Napa,Unnamed stream,,38.29433678,-122.38103132,A030005 02,Y,854,Napa,Unnamed stream,,38.29694302,-122.38174204,A030005 03,,738,Napa,Unnamed stream,,38.29173511,-122.37892703,A030005 01,,2852,Compliance,11/17/2010,12/16/2016,0,,,,Kevin Porzio,Water Rights - Enforcement,,,KPorzio - 12092016 - See A030006-  I've attached the Draft Report of Inspection for the November 2010 compliance investigation. The report was not finalized and is attached for staff to review site conditions and records at the time the inspection was conducted. ,A030005
44,11/2/2010,,,,1,1,2503,Mendocino,Unnamed stream,Tenmile Creek,39.6995,-123.5248,A022328 01,Y,,,,,,,,,,,,,,,,,2856,Compliance,11/2/2010,11/2/2010,0,,,,Jeff  Wetzel,Water Rights - Enforcement,,,,A022328
45,2/19/2013,Field,3/6/2013,,1,4,4428,Mendocino,,,39.2054,-123.1888,UN000654 02,Y,4465,Mendocino,,,39.2054,-123.1888,S023960 01,,4427,Mendocino,,,39.2077,-123.1915,UN000654 01,,4609,Unauthorized Diversion,2/12/2013,4/2/2013,3,ENF00545,Notification of Violations and Voluntary Compliance,5/29/2018,Ramon  Ruiz,Water Rights - Enforcement,,,AB2121 RID 2597 on Mendocino APN 168-160-02 and plus one non-listed reservoir on Mendocino APN168-190-06.,"S023959,S023960,UN000654"
46,12/6/2010,,1/3/2011,,1,1,6383,Sonoma,Unnamed stream,,38.64641873,-122.89570806,A030798 01,Y,,,,,,,,,,,,,,,,,2875,Failure to File/Report/Submit,12/6/2010,1/3/2011,0,,,,Cherilyn  Gehrt,Water Rights - Enforcement,,,"This inspection was primarily conducted to determine if the applicant had commenced consumptive use of water from the reservoir and should have filed a Statement of Water Diversion and Use. Based on statements from the applicant during this inspection, they have not started withdrawing water under the proposed use of irrigation for pending Application
No. 030798. Therefore, there is currently no unauthorized diversion of water from the reservoir and a Statement of Water Diversion and Use is not required to be filed for diversions made in excess of the licensed amounts.",A030798
47,12/2/2010,Field,1/4/2011,,1,1,5306,Sonoma,Unnamed stream,Dry Creek,38.6521,-122.9358,A031724 01,Y,,,,,,,,,,,,,,,,,2877,Unauthorized Diversion,12/2/2010,4/6/2012,1,ENF00103,Notification of Violations and Voluntary Compliance,1/16/2019,Kyle  Wooldridge,Water Rights - Enforcement,,,"Sent notification letter 10/10/18 that groundwater diversion may be from subterranean stream.

Discretionary closure, no enforcement action planned

","UN001188,A031724"
48,9/6/2012,Field,,,1,2,4711,Napa,Dry Creek,,38.37185798,-122.30523028,A023886B 01,Y,6292,Napa,Dry Creek,,38.37704705,-122.31571718,A023886A 01,,,,,,,,,,4611,Compliance,9/6/2012,9/6/2012,0,,,,Bill  Rigby,Water Rights - Enforcement,,,Waiting for decision from John before proceeding.,"A023886A,A023886B"
49,2/27/2003,,3/13/2003,,1,1,4907,Santa Cruz,Hare Creek,,37.15458344,-122.17148011,A024172 01,Y,,,,,,,,,,,,,,,,,2997,Compliance,2/27/2003,3/13/2003,0,,,,John  O'Hagan,Water Rights - Enforcement,,,"Follow-up inspection to June 8, 2001 inspection",A024172
50,7/15/2011,,9/2/2011,,1,1,5318,Sonoma,,,38.4086,-122.8626,UN00119 1,Y,,,,,,,,,,,,,,,,,3099,Unauthorized Diversion,7/15/2011,9/9/2011,0,,,,Kevin Porzio,Water Rights - Enforcement,,,,NJ000022
51,2/7/2011,,,,1,1,4547,Sonoma,Unnamed stream,Petaluma River,38.1702,-122.5159,S022317 01,Y,,,,,,,,,,,,,,,,,4632,Failure to File/Report/Submit,2/7/2011,9/20/2011,1,,,,Cherilyn  Gehrt,Water Rights - Enforcement,,,Onsite Inspection for Failure to File.,S022317
52,2/15/2011,,,,1,1,1964,Sonoma,Unnamed stream,Petaluma River,38.1726,-122.5136,S021310 01,Y,,,,,,,,,,,,,,,,,4633,Failure to File/Report/Submit,2/15/2011,9/20/2011,1,,,,Cherilyn  Gehrt,Water Rights - Enforcement,,,,S021310
53,3/20/2013,Field,5/16/2013,,1,1,126,Mendocino,Unnamed stream,Big Sulphur Creek,38.852,-122.9529,"UN000672 01, S024372 and D032262",Y,,,,,,,,,,,,,,,,,4637,Unauthorized Diversion,3/20/2013,5/29/2013,2,ENF00563,Notification of Violations and Voluntary Compliance,3/6/2014,Kyle  Wooldridge,Water Rights - Enforcement,,,AB2121 RID 1675 on Mendocino APN 050-47-044.  Contacted by phone.  Inspection determined unauthorized storage with no statement on file.,"S024372,UN000672,D032262"
54,2/19/2013,Field,3/8/2013,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4638,Unauthorized Diversion,2/12/2013,3/22/2013,0,,,,Ramon  Ruiz,Water Rights - Enforcement,,,Potential unauthorized reservoir on Mendocino Co APN 168-190-05 found during inspection of AB2121 RID 2597 (see UN000654) on property within same family.  This reservoir was found to be outside our permitting authority and assigned NJ000168.  Findings letter sent 3/22/2013.,"NJ000168,UN000655"
56,1/16/2008,,3/11/2008,,1,2,6023,El Dorado,Camp Creek,,38.72450094,-120.52494852,A005645A 01,Y,6417,El Dorado,Sly Park Creek,,38.71507495,-120.56159884,A005645A 01,,,,,,,,,,621,Compliance,1/16/2008,1/16/2008,0,,,,John Collins,Water Rights - Enforcement,,,,A005645A
57,1/16/2008,,3/11/2008,,1,2,6418,El Dorado,Sly Park Creek,,38.71507495,-120.56159884,A002270 01,Y,6874,El Dorado,Camp Creek,,38.72450094,-120.52494852,A002270 01,,,,,,,,,,622,Compliance,1/16/2008,1/16/2008,0,,,,John Collins,Water Rights - Enforcement,,,,A002270
59,3/12/2013,Field,4/18/2013,,1,2,7542,Mendocino,Unnamed stream,Pieta Creek,38.8968,-122.9851,RID2366 and D032140_POD1,Y,7543,Mendocino,Unnamed stream,Pieta Creek,38.8956,-122.9851,D032140_POD2,,,,,,,,,,4639,Unauthorized Diversion,3/1/2013,4/22/2013,5,ENF00546,Notification of Violations and Voluntary Compliance,8/31/2016,Robert  L'Heureux,Water Rights - Enforcement,,,AB2121 RID 2336 on Mendocino CO APN 050-39-009. Initial contact XXXXX. Inspection determined RID 2336 plus one other small reservoir are unauthorized with no statements filed.  Also there is a riparian diversion from a spring without a statement.,"UN000673,D032140,S023852,S023851,S023850"
61,11/13/2013,Field,4/4/2016,,1,2,4148,Humboldt,Unnamed spring,China Creek,40.1088,-123.9387,D032176 1,Y,4402,Humboldt,Unnamed spring,China Creek,40.1054,-123.9391,S024102 01,,,,,,,,,,5231,Cannabis,5/16/2013,4/4/2016,2,ENF01422,Notification of Violations and Voluntary Compliance,4/4/2016,Skyler  Anderson,Water Rights - Enforcement,,,"26 letters were issued on May 26, 2013, to the China Creek watershed in Humboldt County as a result of a compliant we received from DFW alleging a fish kill that occurred in October 2012.  China Creek supports ESA list coho, chinook, and steelhead and is tributary to Redwood Creek, South Fork Eel River.  
","D032176,UN000773,S024102"
62,1/16/2014,Field,2/28/2017,,2,2,4632,Humboldt,,China Creek,40.1124,-123.9391,S024407 01,Y,4597,Humboldt,,China Creek,40.1106,-123.9393,S024396 01,,,,,,,,,,5236,Cannabis,5/16/2013,4/21/2014,1,ENF01427,Notification of Violations and Voluntary Compliance,4/21/2014,Skyler  Anderson,Water Rights - Enforcement,,,"26 letters were issued on May 26, 2013, to the China Creek watershed in Humboldt County as a result of a compliant we received from DFW alleging a fish kill that occurred in October 2012.  China Creek supports ESA list coho, chinook, and steelhead and is tributary to Redwood Creek, South Fork Eel River.  
","S024407,S024396,UN000778"
63,5/18/1961,,5/18/1961,,1,1,6220,Napa,Rector Creek,,38.44204115,-122.34498271,A010456 01,Y,,,,,,,,,,,,,,,,,1102,Compliance,5/18/1961,5/18/1961,1,,,,Mark  Stretars,Water Rights - Enforcement,,,,A010456
64,9/17/2007,,11/25/2008,,1,1,6969,Trinity,Unnamed stream,,40.8575,-123.0499,A023614 01,Y,,,,,,,,,,,,,,,,,1407,Compliance,9/17/2007,9/17/2007,0,,,,Chuck Arnold,Water Rights - Enforcement,,,,A023614
